'0ccbcf5,Chris,3 weeks ago,Refactored display of followees and followers. Now changes to the respective templates will be reflected in all appropriate tables as long as you display the tables by rendering the followee/follower templates. Control of the contents of the tables can be done when preloading the connection maps (such as length, filtering, etc).'
'b37441e,Chris,4 weeks ago,Finished adding mini avatars to follower/followee displays.'
'2750f19,Chris,4 weeks ago,Added small avatars to the recent followers display in user@show. They are resized without css so when the css is to be implemented that will need to be changed.'
'f775860,Chris,4 weeks ago,Changed magic link creation date column name to be more clear, the current user does not see their name as a link if they are on their user page.'
'7f0d6c6,Chris,5 weeks ago,Magic links are now stored in the database and expire after 1 hour.'
'777bc49,Chris,5 weeks ago,First commit of a proof of concept for magic link system. Currently links do not expire, are permamant for the duration of the server and are not emailed, just displayed in a flash.'
'da5fb87,Chris,5 weeks ago,Revert "added helper function to determine if a user has more than one email"'
'ce4a56a,Chris,5 weeks ago,added helper function to determine if a user has more than one email'
'78048cc,Chris,5 weeks ago,removed debug message'
'3d35450,Chris,5 weeks ago,added case with reference to helper function. Makes removing final email impossible.'
'ba68dd7,Chris,5 weeks ago,chaned auth.ex to not throw error but instead display flash when email is invalid'
'6def1c9,Chris,6 weeks ago,added helper function contains?/2 to connection'
'37e5e1e,Chris,6 weeks ago,added helper function visitor_is_follower?/2 to user_controller'
'5e4af82,Chris,6 weeks ago,changed display follow button if statement to reference helper function in user_controller'
'48d771d,Chris,6 weeks ago,changed if statement to do comparison on size of total followees rather than preloaded list that would always be 5 or lower'
'4fd07a3,Chris,6 weeks ago,fixed variable name mistake resulting in misassigning of values'
'97c7117,Stefan Wintermeyer,6 weeks ago,Don't display follow button if the @current_user already is a follower.'
'7b2fa54,Stefan Wintermeyer,6 weeks ago,Adds "First steps" section'
'4863784,Stefan Wintermeyer,8 weeks ago,Hide the link to /users/:user_id/followers if less than 5 followers.'
'1a0fa53,Stefan Wintermeyer,8 weeks ago,Limits the number of listed followers and followees on user#show to 5.'
'dee29b6,Stefan Wintermeyer,8 weeks ago,Adds followers and followees count in user#show'
'a466370,Stefan Wintermeyer,8 weeks ago,Adds /users/:user_id/followers and /users/:user_id/followees functionality.'
'cf42cd8,Stefan Wintermeyer,8 weeks ago,Adds inserted_at ago display for connections.'
'48b9e54,Stefan Wintermeyer,9 weeks ago,Refactory and improvements of connections/x/memberships'
'5d2aa48,Stefan Wintermeyer,9 weeks ago,Refactoring'
'3de1035,Stefan Wintermeyer,9 weeks ago,Misc related to #40'
'ad47d99,Stefan Wintermeyer,9 weeks ago,Removes connection#edit and connection#update. closes #40'
'e8d7e84,Stefan Wintermeyer,2 months ago,Deactivates tests for Membership.'
'9fd0484,Stefan Wintermeyer,2 months ago,Adds basic membership scaffold.'
